,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,gdp_per_capita,cvd_death_rate,continent,day,month,year
0,AFG,Afghanistan,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38928341.0,54.422,18.6,1803.987,597.029,Asia,1.0,1.0,2020.0
1,DZA,Algeria,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43851043.0,17.348,29.1,13913.839,278.36400000000003,Africa,1.0,1.0,2020.0
2,ARM,Armenia,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2963234.0,102.931,35.7,8787.58,341.01,Asia,1.0,1.0,2020.0
3,AUS,Australia,31/01/20,7.0,1.0,0.0,0.0,0.275,0.039,0.0,0.0,25499881.0,3.202,37.9,44648.71,107.791,Oceania,31.0,1.0,2020.0
4,AUT,Austria,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,Europe,1.0,1.0,2020.0
5,AZE,Azerbaijan,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10139175.0,119.309,32.4,15847.419,559.812,Asia,1.0,1.0,2020.0
6,BHR,Bahrain,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701583.0,1935.9070000000002,32.4,43290.705,151.689,Asia,1.0,1.0,2020.0
7,BLR,Belarus,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9449321.0,46.858000000000004,40.3,17167.967,443.129,Europe,1.0,1.0,2020.0
8,BEL,Belgium,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11589616.0,375.564,41.8,42658.575999999994,114.898,Europe,1.0,1.0,2020.0
9,BRA,Brazil,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212559409.0,25.04,33.5,14103.452,177.96099999999998,Americas,1.0,1.0,2020.0
10,KHM,Cambodia,28/01/20,1.0,1.0,0.0,0.0,0.06,0.06,0.0,0.0,16718971.0,90.67200000000001,25.6,3645.07,270.892,Asia,28.0,1.0,2020.0
11,CAN,Canada,29/01/20,3.0,1.0,0.0,0.0,0.079,0.026000000000000002,0.0,0.0,37742157.0,4.037,41.4,44017.59099999999,105.59899999999999,Americas,29.0,1.0,2020.0
12,CHN,China,31/01/20,9714.0,1980.0,213.0,43.0,6.749,1.376,0.14800000000000002,0.03,1439323774.0,147.674,38.7,15308.712,261.899,Asia,31.0,1.0,2020.0
13,HRV,Croatia,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4105268.0,73.726,44.0,22669.797000000002,253.782,Europe,1.0,1.0,2020.0
14,CZE,Czech Republic,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10708982.0,137.17600000000002,43.3,32605.906000000003,227.485,Europe,1.0,1.0,2020.0
15,DNK,Denmark,01/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5792203.0,136.52,42.3,46682.515,114.76700000000001,Europe,1.0,1.0,2020.0
